collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType
task,PartyA,Activity A,PartyA,2021-06-23 9:03:26,case_394,,,,,,
task,PartyA,Activity C,PartyA,2021-06-23 9:03:34,case_394,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 9:03:37,case_394,m4_416,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 9:03:41,case_394,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 9:03:44,case_394,m4_416,receive,,m4,PartyB,start
task,PartyC,Activity ZA,PartyC,2021-06-23 9:03:47,case_394,,,,,,
task,PartyA,Activity B,PartyA,2021-06-23 9:03:53,case_394,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 9:03:58,case_394,m3_414,send,PartyB,m3,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 9:03:58,case_394,m1_415,send,PartyA,m1,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 9:04:07,case_394,m1_415,receive,,m1,PartyB,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 9:04:13,case_394,m5_417,send,PartyB,m5,,
task,PartyC,Activity CZ,PartyC,2021-06-23 9:04:19,case_394,,,,,,
task,PartyC,Activity BZ,PartyC,2021-06-23 9:04:28,case_394,,,,,,
task,PartyB,Activity FF,PartyB,2021-06-23 9:04:37,case_394,,,,,,
task,PartyB,Activity G,PartyB,2021-06-23 9:04:40,case_394,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 9:04:45,case_394,m5_417,receive,,m5,PartyC,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 9:04:49,case_394,m2_418,send,,m2,,
task,PartyB,Activity DD,PartyB,2021-06-23 9:04:49,case_394,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 9:04:49,case_394,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 9:04:53,case_394,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 9:04:54,case_394,m3_414,receive,,m3,PartyA,
task,PartyB,Activity O,PartyB,2021-06-23 9:04:58,case_394,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 9:05:00,case_394,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 6:52:42,case_89,m4_94,send,PartyC,m4,,
task,PartyA,Activity A,PartyA,2021-06-23 6:52:59,case_89,,,,,,
task,PartyB,Activity BB,PartyB,2021-06-23 6:53:10,case_89,,,,,,
task,PartyA,Activity C,PartyA,2021-06-23 6:53:21,case_89,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 6:53:27,case_89,m1_93,send,PartyA,m1,,
task,PartyB,Activity FF,PartyB,2021-06-23 6:53:32,case_89,,,,,,
SendTask,PartyB,Activity EE,PartyB,2021-06-23 6:53:39,case_89,m2_95,send,,m2,,
task,PartyB,Activity G,PartyB,2021-06-23 6:53:43,case_89,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 6:53:47,case_89,m4_94,receive,,m4,PartyB,start
task,PartyA,Activity B,PartyA,2021-06-23 6:53:52,case_89,,,,,,
task,PartyC,Activity ZA,PartyC,2021-06-23 6:53:58,case_89,,,,,,
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 6:54:04,case_89,m5_96,send,PartyB,m5,,
task,PartyC,Activity CZ,PartyC,2021-06-23 6:54:15,case_89,,,,,,
SendTask,PartyA,Activity E,PartyA,2021-06-23 6:54:16,case_89,m3_92,send,PartyB,m3,,
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 6:54:24,case_89,m1_93,receive,,m1,PartyB,
task,PartyC,Activity BZ,PartyC,2021-06-23 6:54:31,case_89,,,,,,
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 6:54:34,case_89,m5_96,receive,,m5,PartyC,
task,PartyB,Activity DD,PartyB,2021-06-23 6:54:35,case_89,,,,,,
task,PartyB,Activity I,PartyB,2021-06-23 6:54:41,case_89,,,,,,
task,PartyB,Activity J,PartyB,2021-06-23 6:54:45,case_89,,,,,,
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 6:54:46,case_89,m3_92,receive,,m3,PartyA,
task,PartyB,Activity N,PartyB,2021-06-23 6:54:51,case_89,,,,,,
task,PartyB,Activity L,PartyB,2021-06-23 6:54:53,case_89,,,,,,
SendTask,PartyB,Activity AA,PartyB,2021-06-23 6:28:12,case_29,m4_29,send,PartyC,m4,,
task,PartyB,Activity BB,PartyB,2021-06-23 6:28:15,case_29,,,,,,
ReceiveTask,PartyC,Start,PartyC,2021-06-23 6:28:20,case_29,m4_29,receive,,m4,PartyB,start
task,PartyC,Activity ZA,PartyC,2021-06-23 6:28:26,case_29,,,,,,
SendTask,PartyB,Activity CC,PartyB,2021-06-23 6:28:32,case_29,m1_28,send,PartyA,m1,,
