msgInstanceId,msgProtocol,msgType,org:group,concept:name,collab:toParticipant,msgName,collab:elemType,collab:participant,time:timestamp,case:concept:name,collab:fromParticipant,eventType
disease_47,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:06:35,case_44,,
disease_47,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:06:38,case_44,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:06:42,case_44,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:06:43,case_44,,
blood sample_48,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:06:44,case_44,,
blood sample_48,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:06:46,case_44,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:06:48,case_44,,
results_49,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:06:51,case_44,,
results_49,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:06:52,case_44,Laboratory,
prescription_50,P2P,send,Gynecologist,Send prescription,Patient,prescription,SendTask,Gynecologist,2021-06-17 06:06:55,case_44,,
prescription_50,P2P,receive,Patient,Receive prescription,,prescription,ReceiveTask,Patient,2021-06-17 06:06:58,case_44,Gynecologist,
disease_272,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:41:13,case_254,,
disease_272,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:41:15,case_254,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:41:19,case_254,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:41:24,case_254,,
blood sample_273,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:41:25,case_254,,
blood sample_273,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:41:28,case_254,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:41:29,case_254,,
results_274,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:41:33,case_254,,
results_274,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:41:38,case_254,Laboratory,
hospitalisation_275,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:41:41,case_254,,
admission request_276,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:41:46,case_254,,
admission request_276,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:41:58,case_254,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:42:07,case_254,,
hospitalisation_275,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:42:09,case_254,Gynecologist,
patient analysis_277,P2P,send,Gynecologist,Forward patient analysis results,,patient analysis,SendTask,Gynecologist,2021-06-17 06:42:14,case_254,,
,,,Hospital,Request blood analysis,,,task,Hospital,2021-06-17 06:42:17,case_254,,
admission_278,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:42:21,case_254,,
admission_278,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:42:26,case_254,Hospital,
disease_385,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:58:48,case_354,,
disease_385,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:58:48,case_354,Patient,start
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:58:48,case_354,,
blood sample_386,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:58:49,case_354,,
blood sample_386,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:58:54,case_354,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:58:57,case_354,,
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:59:01,case_354,,
results_387,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:59:05,case_354,,
results_387,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:59:06,case_354,Laboratory,
hospitalisation_388,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:59:07,case_354,,
hospitalisation_388,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:59:13,case_354,Gynecologist,
admission request_389,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:59:15,case_354,,
admission request_389,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:59:20,case_354,Gynecologist,start
patient analysis_390,P2P,send,Gynecologist,Forward patient analysis results,,patient analysis,SendTask,Gynecologist,2021-06-17 06:59:26,case_354,,
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:59:29,case_354,,
,,,Hospital,Request blood analysis,,,task,Hospital,2021-06-17 06:59:33,case_354,,
admission_391,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:59:37,case_354,,
admission_391,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:59:43,case_354,Hospital,
disease_183,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:26:16,case_184,,
disease_183,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:26:18,case_184,Patient,start
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:26:18,case_184,,
blood sample_184,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:26:24,case_184,,
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:26:27,case_184,,
blood sample_184,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:26:31,case_184,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:26:33,case_184,,
results_185,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:26:37,case_184,,
results_185,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:26:40,case_184,Laboratory,
hospitalisation_186,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:26:49,case_184,,
hospitalisation_186,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:26:54,case_184,Gynecologist,
admission request_187,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:27:02,case_184,,
patient analysis_188,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 06:27:08,case_184,,
admission request_187,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:27:18,case_184,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:27:18,case_184,,
patient analysis_188,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 06:27:21,case_184,Gynecologist,
